Wav. (air)[A]     Freq. [s-1]
4226.23273        7.091612423E+14
4226.29940        7.091500570E+14
4226.35629        7.091405099E+14
4226.40491        7.091323528E+14
4226.44650        7.091253751E+14
4226.48212        7.091193981E+14
4226.51269        7.091142702E+14
4226.53896        7.091098627E+14
4226.56158        7.091060666E+14
4226.58112        7.091027891E+14
4226.59803        7.090999517E+14
4226.61272        7.090974878E+14
4226.62552        7.090953408E+14
4226.63671        7.090934626E+14
4226.64655        7.090918125E+14
4226.65523        7.090903561E+14
4226.66293        7.090890639E+14
4226.66980        7.090879110E+14
4226.67597        7.090868764E+14
4226.68154        7.090859422E+14
4226.68660        7.090850931E+14
4226.69123        7.090843162E+14
4226.69550        7.090836007E+14
4226.69945        7.090829372E+14
4226.70314        7.090823178E+14
4226.70661        7.090817358E+14
4226.70989        7.090811857E+14
4226.71301        7.090806625E+14
4226.71599        7.090801622E+14
4226.71886        7.090796813E+14
4226.72163        7.090792168E+14
4226.72431        7.090787664E+14
4226.72693        7.090783278E+14
4226.72954        7.090778892E+14
4226.73223        7.090774388E+14
4226.73500        7.090769743E+14
4226.73786        7.090764934E+14
4226.74085        7.090759931E+14
4226.74396        7.090754700E+14
4226.74724        7.090749198E+14
4226.75071        7.090743379E+14
4226.75440        7.090737185E+14
4226.75836        7.090730550E+14
4226.76263        7.090723395E+14
4226.76726        7.090715626E+14
4226.77232        7.090707136E+14
4226.77789        7.090697794E+14
4226.78405        7.090687449E+14
4226.79092        7.090675921E+14
4226.79863        7.090662999E+14
4226.80731        7.090648436E+14
4226.81714        7.090631937E+14
4226.82834        7.090613156E+14
4226.84114        7.090591688E+14
4226.85582        7.090567052E+14
4226.87274        7.090538682E+14
4226.89227        7.090505912E+14
4226.91490        7.090467957E+14
4226.94117        7.090423890E+14
4226.97173        7.090372622E+14
4227.00736        7.090312867E+14
4227.04895        7.090243110E+14
4227.09756        7.090161566E+14
4227.15446        7.090066131E+14
